cat_id,category,links,title,price,dis_price,description,images,Sales Package,Model Name,Series,SLR Variant,Type,Effective Pixel,Wifi,Screen Resolution Type,Lens Attachment,Optical Zoom,Maximum Shutter Speed,Sensor Type,Sensor Size,Maximum ISO,Maximum FPS,Slow Motion,Battery Type,GPS,Display Size,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty
2,Camera,https://www.flipkart.com/canon-eos-1500d-dslr-camera-body-18-55-mm-ii-lens/p/itm033175ceb4ddd?pid=DLLFAEWE22ZAERXG&lid=LSTDLLFAEWE22ZAERXGWRV3XA&marketplace=FLIPKART&store=jek%2Fp31&srno=b_1_1&otracker=nmenu_sub_Electronics_0_DSLR%20%26%20Mirrorless&fm=organic&iid=en_nVAFSlqa-DesS3fToJRZqwpD2KTkZvtX2vGWl5fb5dr8aJ9Upk8HOaXLEwfZq7IOZjRyLkQFogAz4mT_8qjXhg%3D%3D&ppt=None&ppn=None&ssid=9a6t6cvrq80000001739512680352,Canon EOS 1500D DSLR Camera Body+ 18-55 mm IS II Lens  (Black),"₹37,990","₹47,995","This Canon Camera gives you the freedom to explore different ways to shoot subjects. It packs a multitude of shooting options which you can incorporate in still images to create art that embodies the exact mood and vision you are going for. Don’t worry about the lighting conditions of a place because this camera’s large-sized sensor is designed to capture picture-perfect shots even in a dimly lit environment. Thanks to its Wi-Fi connectivity and NFC paring options, sharing photos is as simple as it gets. ","['https://rukminim2.flixcart.com/image/416/416/kk01pjk0/dslr-camera/f/v/o/eos-1500d-canon-original-imafzfugydh2mjgf.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/kc3p30w0/dslr-camera/d/g/p/eos-eos-1500d-canon-original-imafta9rtu4wxj8h.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/kk01pjk0/dslr-camera/n/t/q/eos-1500d-canon-original-imafzfugrcz6e3xy.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/kk01pjk0/dslr-camera/m/v/a/eos-1500d-canon-original-imafzfugqghjtpep.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/kk01pjk0/dslr-camera/s/q/k/eos-1500d-canon-original-imafzfughbzn7tmg.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/kk01pjk0/dslr-camera/w/f/q/eos-1500d-canon-original-imafzfugm7yaxf6b.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/kc3p30w0/dslr-camera/d/g/p/eos-eos-1500d-canon-original-imafta9rswfqk3yz.jpeg?q=70&crop=false']",,,,,,,,,,,,,,,,,,,,,,,
2,Camera,https://www.flipkart.com/canon-eos-3000d-dslr-camera-1-body-18-55-mm-lens/p/itm1f4ad2d1ba230?pid=CAMF3DHJURPEMNRN&lid=LSTCAMF3DHJURPEMNRNBKP0RG&marketplace=FLIPKART&store=jek%2Fp31&srno=b_1_2&otracker=nmenu_sub_Electronics_0_DSLR%20%26%20Mirrorless&fm=organic&iid=75fe9006-2bff-44f8-8d05-11e2da05724f.CAMF3DHJURPEMNRN.SEARCH&ppt=None&ppn=None&ssid=9a6t6cvrq80000001739512680352,"Canon EOS 3000D DSLR Camera 1 Body, 18 - 55 mm Lens  (Black)","₹29,990","₹35,995","If you are a photography enthusiast, then the Canon EOS 3000D DSLR Camera is a must-have gadget. Featuring an 18 MP (APS-C) CMOS sensor and the DIGIC 4+ imaging processor, you can capture amazing photos of your subject at all times, even in low-light conditions. Moreover, the remote Live View function lets you control this camera remotely using your smartphone so you can capture amazing photos even from a distance. ","['https://rukminim2.flixcart.com/image/416/416/jfbfde80/camera/n/r/n/canon-eos-eos-3000d-dslr-original-imaf3t5h9yuyc5zu.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/jfbfde80/camera/n/r/n/canon-eos-eos-3000d-dslr-original-imaf3t5hmepevckd.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/jfbfde80/camera/n/r/n/canon-eos-eos-3000d-dslr-original-imaf3t5hagaafttz.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/jfbfde80/camera/n/r/n/canon-eos-3000d-original-imaf3t5hjrz6zzzc.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/jmthle80-1/dslr-camera/n/r/n/eos-eos-3000d-canon-original-imaf9n6fqhmgt4cv.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/jmthle80-1/dslr-camera/n/r/n/eos-eos-3000d-canon-original-imaf9n6fg2xkhqh3.jpeg?q=70&crop=false']",,,,,,,,,,,,,,,,,,,,,,,
2,Camera,https://www.flipkart.com/nikon-d7500-dslr-camera-body-18-140-mm-lens/p/itme57c2bb8a03cd?pid=DLLFCKK6GET9EEDC&lid=LSTDLLFCKK6GET9EEDCJAOQAJ&marketplace=FLIPKART&store=jek%2Fp31&spotlightTagId=FkPickId_jek%2Fp31&srno=b_1_3&otracker=nmenu_sub_Electronics_0_DSLR%20%26%20Mirrorless&fm=organic&iid=75fe9006-2bff-44f8-8d05-11e2da05724f.DLLFCKK6GET9EEDC.SEARCH&ppt=None&ppn=None&ssid=9a6t6cvrq80000001739512680352,NIKON D7500 DSLR Camera Body with 18-140 mm Lens  (Black),"₹69,990","₹94,950","Born from a desire for flagship performance and innovation in a more compact and streamlined connected camera, the D7500 delivers the game-changing resolution, ISO range, image processing and energy efficiency of the award-winning D500 in an enthusiast-level DSLR. Simply put, the D7500 is built to outperform any camera in its class with top-tier image quality, blazing speed, flawless autofocus, 4K Ultra HD video and pro-grade creative tools�all in a comfortable, rugged design. This is a camera for the new generation of creators.,suitable_for-Enthusiast,processor-EXPEED 5 Image processing,sensor_type-APS-C/Dx Format","['https://rukminim2.flixcart.com/image/416/416/xif0q/dslr-camera/1/9/j/d7500-20-9-d7500-nikon-original-imah3ubrv5y2vynk.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/xif0q/dslr-camera/6/2/v/d7500-20-9-d7500-nikon-original-imah3ubrmzhfpscb.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/xif0q/dslr-camera/1/n/a/d7500-20-9-d7500-nikon-original-imah3ubrx36bghpp.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/xif0q/dslr-camera/b/h/3/d7500-20-9-d7500-nikon-original-imah3ubrescvvghv.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/xif0q/dslr-camera/n/k/l/d7500-20-9-d7500-nikon-original-imah3ubr57wdyc9u.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/xif0q/dslr-camera/k/e/p/d7500-20-9-d7500-nikon-original-imah3ubrb2a2br73.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/xif0q/dslr-camera/i/5/z/d7500-20-9-d7500-nikon-original-imah3ubrxr9nhwvc.jpeg?q=70&crop=false']",,,,,,,,,,,,,,,,,,,,,,,
2,Camera,https://www.flipkart.com/canon-eos-7d-mark-ii-dslr-camera-body-only/p/itm880a5adaaf003?pid=CAME3YQ46FSFRHKH&lid=LSTCAME3YQ46FSFRHKHZK9IXS&marketplace=FLIPKART&store=jek%2Fp31&srno=b_1_4&otracker=nmenu_sub_Electronics_0_DSLR%20%26%20Mirrorless&fm=organic&iid=75fe9006-2bff-44f8-8d05-11e2da05724f.CAME3YQ46FSFRHKH.SEARCH&ppt=None&ppn=None&ssid=9a6t6cvrq80000001739512680352,Canon EOS 7D Mark II DSLR Camera (Body Only)  (Black),"₹99,999","₹1,24,995","Let the photographer in you take the front seat with this Canon EOS 7D Mark II DSLR camera. This camera comes with 65-point all cross-type AF system for accurate subject-tracking, continuous shooting speeds of up to 10 fps for capturing sporting events, wildlife etc, and many other features that will thrill the artist in you. ","['https://rukminim2.flixcart.com/image/416/416/jk8lz0w0/dslr-camera/h/k/h/eos-7d-mark-ii-canon-original-imaf6n7gkmgdf4tx.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/jk8lz0w0/dslr-camera/h/k/h/eos-7d-mark-ii-canon-original-imaf6n7gkmgdf4tx.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/jk8lz0w0/dslr-camera/h/k/h/eos-7d-mark-ii-canon-original-imaf7mrgy84mu83p.jpeg?q=70&crop=false']",,,,,,,,,,,,,,,,,,,,,,,
2,Camera,https://www.flipkart.com/4uonly-bulb-camera-wifi-360-cctv-security-2mp-1080p-hidden-wireless-bhu8-dslr-slr-dslr/p/itma1b2b577889f8?pid=CAMH5UU8PJX8RT7Q&lid=LSTCAMH5UU8PJX8RT7QIROQ13&marketplace=FLIPKART&store=jek%2Fp31&srno=b_1_5&otracker=nmenu_sub_Electronics_0_DSLR%20%26%20Mirrorless&fm=organic&iid=75fe9006-2bff-44f8-8d05-11e2da05724f.CAMH5UU8PJX8RT7Q.SEARCH&ppt=None&ppn=None&ssid=9a6t6cvrq80000001739512680352,4uonly Bulb Camera Wifi 360 Cctv Security 2mp 1080p Hidden Wireless BHU8 DSLR/SLR Camera DSLR Camera  (White),₹999,"₹1,899",,"['https://rukminim2.flixcart.com/image/416/416/xif0q/camera/k/y/3/series-refers-to-the-range-or-set-of-a-given-product-bulb-camera-original-imah5uu8kvry2zwg.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/xif0q/camera/q/w/a/series-refers-to-the-range-or-set-of-a-given-product-bulb-camera-original-imah5uu8pg4uxvu7.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/xif0q/camera/m/a/v/series-refers-to-the-range-or-set-of-a-given-product-bulb-camera-original-imah5uu8pj6nxzkv.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/xif0q/camera/s/y/z/series-refers-to-the-range-or-set-of-a-given-product-bulb-camera-original-imah5uu8rhaghhuy.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/xif0q/camera/a/f/v/series-refers-to-the-range-or-set-of-a-given-product-bulb-camera-original-imah5uu8hphuh9pb.jpeg?q=70&crop=false']",1XCAMERA,Bulb Camera Wifi 360 Cctv Security 2mp 1080p Hidden Wireless BHU8,Series refers to the range or set of a given product,DSLR/SLR Camera,DSLR,14 MP,Yes,Screen Resolution Type refers to the type of resolution,A Lens Attachment is an interface,Optical Zoom refers to the zooming effect achievable,Maximum Shutter Speed refers to the maximum sec,CCD,Sensor Size refers to the refers to the shape,1,7 fps,Yes,Lithium Battery,Yes,2.7 inch,This refers to a brief description on the warranty details of the produc,This attribute covers the process on the customer's part to claim the warranty,Covers specific details on what would actually the warranty cover.,"This elaborates on the things that, if damaged, will not be repaired/covered under warranty."
2,Camera,https://www.flipkart.com/4uonly-bulb-camera-wifi-360-cctv-security-2mp-1080p-hidden-wireless-bhu19-dslr-slr-dslr/p/itmfd2f741324dd4?pid=CAMH5UU82XWY9RED&lid=LSTCAMH5UU82XWY9REDCP3RCS&marketplace=FLIPKART&store=jek%2Fp31&srno=b_1_6&otracker=nmenu_sub_Electronics_0_DSLR%20%26%20Mirrorless&fm=organic&iid=75fe9006-2bff-44f8-8d05-11e2da05724f.CAMH5UU82XWY9RED.SEARCH&ppt=None&ppn=None&ssid=9a6t6cvrq80000001739512680352,4uonly Bulb Camera Wifi 360 Cctv Security 2mp 1080p Hidden Wireless BHU19 DSLR/SLR Camera DSLR Camera  (White),₹999,"₹1,899",,"['https://rukminim2.flixcart.com/image/416/416/xif0q/camera/k/y/3/series-refers-to-the-range-or-set-of-a-given-product-bulb-camera-original-imah5uu8kvry2zwg.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/xif0q/camera/g/l/t/series-refers-to-the-range-or-set-of-a-given-product-bulb-camera-original-imah5uu8f2dbnfep.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/xif0q/camera/4/r/0/series-refers-to-the-range-or-set-of-a-given-product-bulb-camera-original-imah5uu8hxz4qqht.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/xif0q/camera/s/y/z/series-refers-to-the-range-or-set-of-a-given-product-bulb-camera-original-imah5uu8rhaghhuy.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/xif0q/camera/a/f/v/series-refers-to-the-range-or-set-of-a-given-product-bulb-camera-original-imah5uu8hphuh9pb.jpeg?q=70&crop=false']",1XCAMERA,Bulb Camera Wifi 360 Cctv Security 2mp 1080p Hidden Wireless BHU19,Series refers to the range or set of a given product,DSLR/SLR Camera,DSLR,14 MP,Yes,Screen Resolution Type refers to the type of resolution,A Lens Attachment is an interface,Optical Zoom refers to the zooming effect achievable,Maximum Shutter Speed refers to the maximum sec,CCD,Sensor Size refers to the refers to the shape,1,7 fps,Yes,Lithium Battery,Yes,2.7 inch,This refers to a brief description on the warranty details of the produc,This attribute covers the process on the customer's part to claim the warranty,Covers specific details on what would actually the warranty cover.,"This elaborates on the things that, if damaged, will not be repaired/covered under warranty."
2,Camera,https://www.flipkart.com/4uonly-bulb-camera-wifi-360-cctv-security-2mp-1080p-hidden-wireless-bhu14-dslr-slr-dslr/p/itm09b05a5dc9b89?pid=CAMH5UU8DZSMZBQX&lid=LSTCAMH5UU8DZSMZBQXPPP9L1&marketplace=FLIPKART&store=jek%2Fp31&srno=b_1_7&otracker=nmenu_sub_Electronics_0_DSLR%20%26%20Mirrorless&fm=organic&iid=75fe9006-2bff-44f8-8d05-11e2da05724f.CAMH5UU8DZSMZBQX.SEARCH&ppt=None&ppn=None&ssid=9a6t6cvrq80000001739512680352,4uonly Bulb Camera Wifi 360 Cctv Security 2mp 1080p Hidden Wireless BHU14 DSLR/SLR Camera DSLR Camera  (White),₹999,"₹1,899",,"['https://rukminim2.flixcart.com/image/416/416/xif0q/camera/k/y/3/series-refers-to-the-range-or-set-of-a-given-product-bulb-camera-original-imah5uu8kvry2zwg.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/xif0q/camera/c/a/8/series-refers-to-the-range-or-set-of-a-given-product-bulb-camera-original-imah5uu83yy5zhmh.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/xif0q/camera/8/h/x/series-refers-to-the-range-or-set-of-a-given-product-bulb-camera-original-imah5uu84upzxahh.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/xif0q/camera/s/y/z/series-refers-to-the-range-or-set-of-a-given-product-bulb-camera-original-imah5uu8rhaghhuy.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/xif0q/camera/a/f/v/series-refers-to-the-range-or-set-of-a-given-product-bulb-camera-original-imah5uu8hphuh9pb.jpeg?q=70&crop=false']",1XCAMERA,Bulb Camera Wifi 360 Cctv Security 2mp 1080p Hidden Wireless BHU14,Series refers to the range or set of a given product,DSLR/SLR Camera,DSLR,14 MP,Yes,Screen Resolution Type refers to the type of resolution,A Lens Attachment is an interface,Optical Zoom refers to the zooming effect achievable,Maximum Shutter Speed refers to the maximum sec,CCD,Sensor Size refers to the refers to the shape,1,7 fps,Yes,Lithium Battery,Yes,2.7 inch,This refers to a brief description on the warranty details of the produc,This attribute covers the process on the customer's part to claim the warranty,Covers specific details on what would actually the warranty cover.,"This elaborates on the things that, if damaged, will not be repaired/covered under warranty."
2,Camera,https://www.flipkart.com/4uonly-bulb-camera-wifi-360-cctv-security-2mp-1080p-hidden-wireless-bhu21-dslr-slr-dslr/p/itm76f683f6dcfcc?pid=CAMH5UU8RZZQKHN3&lid=LSTCAMH5UU8RZZQKHN3KONVZ9&marketplace=FLIPKART&store=jek%2Fp31&srno=b_1_8&otracker=nmenu_sub_Electronics_0_DSLR%20%26%20Mirrorless&fm=organic&iid=75fe9006-2bff-44f8-8d05-11e2da05724f.CAMH5UU8RZZQKHN3.SEARCH&ppt=None&ppn=None&ssid=9a6t6cvrq80000001739512680352,4uonly Bulb Camera Wifi 360 Cctv Security 2mp 1080p Hidden Wireless BHU21 DSLR/SLR Camera DSLR Camera  (White),₹999,"₹1,899",,"['https://rukminim2.flixcart.com/image/416/416/xif0q/camera/k/y/3/series-refers-to-the-range-or-set-of-a-given-product-bulb-camera-original-imah5uu8kvry2zwg.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/xif0q/camera/v/l/i/series-refers-to-the-range-or-set-of-a-given-product-bulb-camera-original-imah5uu8an2jykjy.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/xif0q/camera/q/0/7/series-refers-to-the-range-or-set-of-a-given-product-bulb-camera-original-imah5uu8f7mcwdxz.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/xif0q/camera/s/y/z/series-refers-to-the-range-or-set-of-a-given-product-bulb-camera-original-imah5uu8rhaghhuy.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/xif0q/camera/a/f/v/series-refers-to-the-range-or-set-of-a-given-product-bulb-camera-original-imah5uu8hphuh9pb.jpeg?q=70&crop=false']",1XCAMERA,Bulb Camera Wifi 360 Cctv Security 2mp 1080p Hidden Wireless BHU21,Series refers to the range or set of a given product,DSLR/SLR Camera,DSLR,14 MP,Yes,Screen Resolution Type refers to the type of resolution,A Lens Attachment is an interface,Optical Zoom refers to the zooming effect achievable,Maximum Shutter Speed refers to the maximum sec,CCD,Sensor Size refers to the refers to the shape,1,7 fps,Yes,Lithium Battery,Yes,2.7 inch,This refers to a brief description on the warranty details of the produc,This attribute covers the process on the customer's part to claim the warranty,Covers specific details on what would actually the warranty cover.,"This elaborates on the things that, if damaged, will not be repaired/covered under warranty."
2,Camera,https://www.flipkart.com/4uonly-bulb-camera-wifi-360-cctv-security-2mp-1080p-hidden-wireless-bhu10-dslr-slr-dslr/p/itm207a35653e464?pid=CAMH5UU8AJKVP3MV&lid=LSTCAMH5UU8AJKVP3MVZHHTKE&marketplace=FLIPKART&store=jek%2Fp31&srno=b_1_9&otracker=nmenu_sub_Electronics_0_DSLR%20%26%20Mirrorless&fm=organic&iid=75fe9006-2bff-44f8-8d05-11e2da05724f.CAMH5UU8AJKVP3MV.SEARCH&ppt=None&ppn=None&ssid=9a6t6cvrq80000001739512680352,4uonly Bulb Camera Wifi 360 Cctv Security 2mp 1080p Hidden Wireless BHU10 DSLR/SLR Camera DSLR Camera  (White),₹999,"₹1,899",,"['https://rukminim2.flixcart.com/image/416/416/xif0q/shopsy-home-security-camera/o/i/u/4-bulb-camera-with-360-degree-wi-fi-mobile-connectivity-white-original-imagsatcgrva5uu3.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/xif0q/camera/5/z/s/series-refers-to-the-range-or-set-of-a-given-product-bulb-camera-original-imah5uu8gcuqcqwy.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/xif0q/camera/k/y/3/series-refers-to-the-range-or-set-of-a-given-product-bulb-camera-original-imah5uu8kvry2zwg.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/xif0q/camera/s/y/z/series-refers-to-the-range-or-set-of-a-given-product-bulb-camera-original-imah5uu8rhaghhuy.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/xif0q/camera/a/f/v/series-refers-to-the-range-or-set-of-a-given-product-bulb-camera-original-imah5uu8hphuh9pb.jpeg?q=70&crop=false']",1XCAMERA,Bulb Camera Wifi 360 Cctv Security 2mp 1080p Hidden Wireless BHU10,Series refers to the range or set of a given product,DSLR/SLR Camera,DSLR,14 MP,Yes,Screen Resolution Type refers to the type of resolution,A Lens Attachment is an interface,Optical Zoom refers to the zooming effect achievable,Maximum Shutter Speed refers to the maximum sec,CCD,Sensor Size refers to the refers to the shape,1,7 fps,Yes,Lithium Battery,Yes,2.7 inch,This refers to a brief description on the warranty details of the produc,This attribute covers the process on the customer's part to claim the warranty,Covers specific details on what would actually the warranty cover.,"This elaborates on the things that, if damaged, will not be repaired/covered under warranty."
2,Camera,https://www.flipkart.com/4uonly-bulb-camera-wifi-360-cctv-security-2mp-1080p-hidden-wireless-bhu9-dslr-slr-dslr/p/itmd54107f295d20?pid=CAMH5UU8EAEZZH2N&lid=LSTCAMH5UU8EAEZZH2NXXPGA9&marketplace=FLIPKART&store=jek%2Fp31&srno=b_1_10&otracker=nmenu_sub_Electronics_0_DSLR%20%26%20Mirrorless&fm=organic&iid=75fe9006-2bff-44f8-8d05-11e2da05724f.CAMH5UU8EAEZZH2N.SEARCH&ppt=None&ppn=None&ssid=9a6t6cvrq80000001739512680352,4uonly Bulb Camera Wifi 360 Cctv Security 2mp 1080p Hidden Wireless BHU9 DSLR/SLR Camera DSLR Camera  (White),₹999,"₹1,899",,"['https://rukminim2.flixcart.com/image/416/416/xif0q/home-security-camera/n/i/k/4-trending-wifi-spy-bulb-camera-for-home-office-indoor-dfg11-original-imagne66cr6fdaum.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/xif0q/camera/u/c/l/series-refers-to-the-range-or-set-of-a-given-product-bulb-camera-original-imah5uu8zrez5zfe.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/xif0q/camera/k/y/3/series-refers-to-the-range-or-set-of-a-given-product-bulb-camera-original-imah5uu8kvry2zwg.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/xif0q/camera/s/y/z/series-refers-to-the-range-or-set-of-a-given-product-bulb-camera-original-imah5uu8rhaghhuy.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/xif0q/camera/a/f/v/series-refers-to-the-range-or-set-of-a-given-product-bulb-camera-original-imah5uu8hphuh9pb.jpeg?q=70&crop=false']",1XCAMERA,Bulb Camera Wifi 360 Cctv Security 2mp 1080p Hidden Wireless BHU9,Series refers to the range or set of a given product,DSLR/SLR Camera,DSLR,14 MP,Yes,Screen Resolution Type refers to the type of resolution,A Lens Attachment is an interface,Optical Zoom refers to the zooming effect achievable,Maximum Shutter Speed refers to the maximum sec,CCD,Sensor Size refers to the refers to the shape,1,7 fps,Yes,Lithium Battery,Yes,2.7 inch,This refers to a brief description on the warranty details of the produc,This attribute covers the process on the customer's part to claim the warranty,Covers specific details on what would actually the warranty cover.,"This elaborates on the things that, if damaged, will not be repaired/covered under warranty."
2,Camera,https://www.flipkart.com/4uonly-bulb-camera-wifi-360-cctv-security-2mp-1080p-hidden-wireless-bhu17-dslr-slr-dslr/p/itmab69f7f915e01?pid=CAMH5UU8ZZ9UHBFV&lid=LSTCAMH5UU8ZZ9UHBFVUKCRRY&marketplace=FLIPKART&store=jek%2Fp31&srno=b_1_11&otracker=nmenu_sub_Electronics_0_DSLR%20%26%20Mirrorless&fm=organic&iid=75fe9006-2bff-44f8-8d05-11e2da05724f.CAMH5UU8ZZ9UHBFV.SEARCH&ppt=None&ppn=None&ssid=9a6t6cvrq80000001739512680352,4uonly Bulb Camera Wifi 360 Cctv Security 2mp 1080p Hidden Wireless BHU17 DSLR/SLR Camera DSLR Camera  (White),₹999,"₹1,899",,"['https://rukminim2.flixcart.com/image/416/416/xif0q/camera/j/5/q/series-refers-to-the-range-or-set-of-a-given-product-bulb-camera-original-imah5uu8nq85jt3w.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/xif0q/camera/l/a/y/series-refers-to-the-range-or-set-of-a-given-product-bulb-camera-original-imah5uu8yztxyuyh.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/xif0q/camera/k/y/3/series-refers-to-the-range-or-set-of-a-given-product-bulb-camera-original-imah5uu8kvry2zwg.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/xif0q/camera/s/y/z/series-refers-to-the-range-or-set-of-a-given-product-bulb-camera-original-imah5uu8rhaghhuy.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/xif0q/camera/a/f/v/series-refers-to-the-range-or-set-of-a-given-product-bulb-camera-original-imah5uu8hphuh9pb.jpeg?q=70&crop=false']",1XCAMERA,Bulb Camera Wifi 360 Cctv Security 2mp 1080p Hidden Wireless BHU17,Series refers to the range or set of a given product,DSLR/SLR Camera,DSLR,14 MP,Yes,Screen Resolution Type refers to the type of resolution,A Lens Attachment is an interface,Optical Zoom refers to the zooming effect achievable,Maximum Shutter Speed refers to the maximum sec,CCD,Sensor Size refers to the refers to the shape,1,7 fps,Yes,Lithium Battery,Yes,2.7 inch,This refers to a brief description on the warranty details of the produc,This attribute covers the process on the customer's part to claim the warranty,Covers specific details on what would actually the warranty cover.,"This elaborates on the things that, if damaged, will not be repaired/covered under warranty."
2,Camera,https://www.flipkart.com/4uonly-bulb-camera-wifi-360-cctv-security-2mp-1080p-hidden-wireless-bhu1-dslr-slr-dslr/p/itm710838de52af2?pid=CAMH5UU8GNBGS5R8&lid=LSTCAMH5UU8GNBGS5R8NMNTJ8&marketplace=FLIPKART&store=jek%2Fp31&srno=b_1_12&otracker=nmenu_sub_Electronics_0_DSLR%20%26%20Mirrorless&fm=organic&iid=75fe9006-2bff-44f8-8d05-11e2da05724f.CAMH5UU8GNBGS5R8.SEARCH&ppt=None&ppn=None&ssid=9a6t6cvrq80000001739512680352,4uonly Bulb Camera Wifi 360 Cctv Security 2mp 1080p Hidden Wireless BHU1 DSLR/SLR Camera DSLR Camera  (White),₹999,"₹1,899",,"['https://rukminim2.flixcart.com/image/416/416/xif0q/camera/b/j/6/series-refers-to-the-range-or-set-of-a-given-product-bulb-camera-original-imah5uu8uphwgjeb.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/xif0q/camera/o/j/e/series-refers-to-the-range-or-set-of-a-given-product-bulb-camera-original-imah5uu8za5vfycu.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/xif0q/camera/k/y/3/series-refers-to-the-range-or-set-of-a-given-product-bulb-camera-original-imah5uu8kvry2zwg.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/xif0q/camera/s/y/z/series-refers-to-the-range-or-set-of-a-given-product-bulb-camera-original-imah5uu8rhaghhuy.jpeg?q=70&crop=false', 'https://rukminim2.flixcart.com/image/416/416/xif0q/camera/a/f/v/series-refers-to-the-range-or-set-of-a-given-product-bulb-camera-original-imah5uu8hphuh9pb.jpeg?q=70&crop=false']",1XCAMERA,Bulb Camera Wifi 360 Cctv Security 2mp 1080p Hidden Wireless BHU1,Series refers to the range or set of a given product,DSLR/SLR Camera,DSLR,14 MP,Yes,Screen Resolution Type refers to the type of resolution,A Lens Attachment is an interface,Optical Zoom refers to the zooming effect achievable,Maximum Shutter Speed refers to the maximum sec,CCD,Sensor Size refers to the refers to the shape,1,7 fps,Yes,Lithium Battery,Yes,2.7 inch,This refers to a brief description on the warranty details of the produc,This attribute covers the process on the customer's part to claim the warranty,Covers specific details on what would actually the warranty cover.,"This elaborates on the things that, if damaged, will not be repaired/covered under warranty."
